satPRN,GPS time,Sat.X,Sat.Y,Sat.Z,pseudorange,cn0
G27,3165.344706746051,23124818.211946245,13298735.04500167,-2808806.788871257,22176595.539672796,40.2
G28,3165.3391486050095,5184623.996741261,25793568.833147407,-3669587.4488184815,23787871.261018597,33.0
G32,3165.347101399093,7949898.986866786,17905929.540878773,18235891.386866298,21278926.759576425,38.5
G02,3166.3422607140383,14603741.015895387,-5054044.876810983,22065701.134059142,22779314.371359404,42.9
G03,3166.338555706083,23164337.732764848,-12089317.385090146,4233562.012366434,24118676.865782324,47.4
G08,3166.3481558720814,24968011.819200847,4741169.575580757,8326061.925721031,21183963.27354811,40.3
G10,3182.342592058005,-1480498.3380024498,17241107.061719064,20260096.20347275,22813536.71419467,32.8
G21,3166.3463613350177,15729310.713709258,1720427.474519474,21884962.031452477,21724260.192849793,40.8
G27,3166.3447048070375,23124429.723542668,13298809.976965696,-2811932.0053603076,22177176.84064449,35.4
G28,3166.3391579960007,5184396.9196729055,25794058.18269107,-3666455.696497037,23785055.908156335,23.5
G32,3166.3471004529856,7947794.647446254,17905078.390122276,18237645.01907695,21279210.395279232,37.8
G02,3167.342262278078,14604183.127781961,-5051394.13546399,22066049.8059175,22778845.48595144,47.5
G03,3167.338557274081,23163994.89820423,-12088827.7053506,4236735.909009934,24118206.79819028,44.0
G08,3167.3481551620644,24968876.87343746,4741832.429586142,8323169.771332182,21184176.13825692,43.7
G10,3183.342590696062,-1482652.5169453537,17242437.460039515,20258762.137087386,22813945.013094213,33.1
G21,3167.346362391021,15729738.875492206,1723053.8630810329,21884536.272546556,21723943.610522404,42.1
G27,3167.3447028920054,23124040.891377963,13298884.76164274,-2815057.163830618,22177750.95212648,31.6
G32,3167.347099483013,7945690.061004051,17904227.269334108,18239398.272083092,21279501.185571317,38.4
G02,3168.34226383199,14604625.406217663,-5048743.382526038,22066398.0278828,22778379.636881366,43.3
G03,3168.3385587789817,23163651.760395363,-12088337.78006809,4239909.714375249,24117755.64663427,33.8
G08,3168.348154474981,24969741.63675655,4742495.0838559745,8320277.443386479,21184382.127579935,38.0
G10,3184.342589408043,-1484806.4786611162,17243767.901013423,20257427.643686507,22814331.150217224,31.4
G21,3168.346363413031,15730167.185675908,1725680.1633960055,21884110.070779074,21723637.21912218,46.2
G27,3168.344701016089,23123651.715432078,13298959.399084179,-2818182.264265071,22178313.337062147,30.3
G28,3168.339161121985,5183942.735005552,25795035.7393261,-3660192.0069928337,23784118.7525969,23.5
G32,3168.3470985849854,7943585.227375314,17903376.17848204,18241151.14601626,21279770.407394275,42.0
G02,3169.342265394982,14605067.851206942,-5046092.61801074,22066745.799956027,22777911.06557732,45.8
G03,3169.3385603320785,23163308.319340564,-12087847.609151274,4243083.428747208,24117290.046297967,30.5
G08,3169.3481537280604,24970606.109045446,4743157.538367928,8317384.942184098,21184606.05572678,36.6
G10,3185.3425880910363,-1486960.2228882024,17245098.384449817,20256092.723433908,22814725.977548674,34.4
G21,3169.346364443074,15730595.644261653,1728306.3755141539,21883683.426144306,21723328.419591904,44.7
G27,3169.344699161011,23123262.195698407,13299033.889338143,-2821307.3065422256,22178869.47481986,33.0
G28,3169.339162715012,5183715.625519155,25795523.950251702,-3657060.0453343866,23783641.170504823,30.5
G32,3169.347097655991,7941480.146813606,17902525.117702868,18242903.640659623,21280048.91273307,39.1
G02,3170.3422669180436,14605510.462724064,-5043441.8421125505,22067093.12211449,22777454.465122648,44.4
G03,3170.33856188599,23162964.575096644,-12087357.192586495,4246257.051907047,24116824.201658618,32.1
