,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,Constellation,SvName
198,1713027081417,332299412000000,18,0.0,-1396730000005343206,-0.3460350036621094,26.17577774799429,-139.22955713878792,13.519478343356516,6,32,0.0,81935,579099345815450,12,28.3,240.5704040527344,0.9389999508857727,16,0.0,0.0,1176450050,,,,0,0.0,1,-37.58,23.3,-7861.5380859375,6.015347003936768,,,Q,338295115151353,G,G32
215,1713027082417,332300412000000,18,0.0,-1396730000005343329,-0.1614055633544922,27.088088245363906,-126.06266723140145,16.203641236922117,6,02,0.0,16399,579100340802834,9,45.2,-502.9743347167969,0.048809196799993515,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.2,40.2,0.0,0.0,,,C,338296117368853,G,G02
216,1713027082417,332300412000000,18,0.0,-1396730000005343329,-0.1614055633544922,27.088088245363906,-126.06266723140145,16.203641236922117,6,03,0.0,16399,579100337098173,10,44.2,-501.73736572265625,0.023899104446172714,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.2,39.2,0.0,0.0,,,C,338296117368853,G,G03
217,1713027082417,332300412000000,18,0.0,-1396730000005343329,-0.1614055633544922,27.088088245363906,-126.06266723140145,16.203641236922117,6,08,0.0,16399,579100346846584,6,49.4,168.81280517578125,0.037792082875967026,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.2,44.4,0.0,0.0,,,C,338296117368853,G,G08
218,1713027082417,332300412000000,18,0.0,-1396730000005343329,-0.1614055633544922,27.088088245363906,-126.06266723140145,16.203641236922117,6,10,0.0,16399,579100341323878,13,41.1,358.2361145019531,0.05039195343852043,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.2,36.1,0.0,0.0,,,C,338296117368853,G,G10
219,1713027082417,332300412000000,18,0.0,-1396730000005343329,-0.1614055633544922,27.088088245363906,-126.06266723140145,16.203641236922117,6,21,0.0,16399,579100344938243,9,45.8,-345.81219482421875,0.042809195816516876,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.2,40.8,0.0,0.0,,,C,338296117368853,G,G21
220,1713027082417,332300412000000,18,0.0,-1396730000005343329,-0.1614055633544922,27.088088245363906,-126.06266723140145,16.203641236922117,6,27,0.0,16399,579100343476218,8,46.8,536.6227416992188,0.04370025545358658,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.2,41.8,0.0,0.0,,,C,338296117368853,G,G27
221,1713027082417,332300412000000,18,0.0,-1396730000005343329,-0.1614055633544922,27.088088245363906,-126.06266723140145,16.203641236922117,6,28,0.0,16399,579100337691498,16,39.9,-507.8260803222656,0.03240523114800453,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.2,34.9,0.0,0.0,,,C,338296117368853,G,G28
222,1713027082417,332300412000000,18,0.0,-1396730000005343329,-0.1614055633544922,27.088088245363906,-126.06266723140145,16.203641236922117,6,32,0.0,16399,579100345806783,7,47.5,239.6295318603516,0.040205493569374084,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.2,42.5,0.0,0.0,,,C,338296117368853,G,G32
248,1713027082417,332300412000000,18,0.0,-1396730000005343329,-0.1614055633544922,27.088088245363906,-126.06266723140145,16.203641236922117,6,03,0.0,81935,579100337105968,6,36.5,-501.6851806640625,0.08258473873138428,16,0.0,0.0,1176450050,,,,0,0.0,1,-37.99,31.5,-7861.5380859375,6.01542854309082,,,Q,338296117368853,G,G03
